"","Cruise","Haul","Yr","LonDec","LatDec","ICESCODE","Validity","AreaKmSq","Species","CatchKg","RaisedNo"
"62","IGFS2005",10,2005,-12.187,52.357,"VIIk","V",0.358956178226847,"WHB",32.297,355.151
"63","IGFS2005",11,2005,-12.169,52.559,"VIIc","V",0.42558977153933,"BOF",0.128,2
"64","IGFS2005",11,2005,-12.169,52.559,"VIIc","V",0.42558977153933,"MEG",3.255,53
"65","IGFS2005",11,2005,-12.169,52.559,"VIIc","V",0.42558977153933,"MON",4.2,3
"66","IGFS2005",11,2005,-12.169,52.559,"VIIc","V",0.42558977153933,"WHB",58.833,954.479
"67","IGFS2005",12,2005,-12.298,52.721,"VIIc","V",0.432510633188571,"BOF",0.082,1
"68","IGFS2005",12,2005,-12.298,52.721,"VIIc","V",0.432510633188571,"MEG",1.563,27
"69","IGFS2005",12,2005,-12.298,52.721,"VIIc","V",0.432510633188571,"MON",4.37,2
"70","IGFS2005",12,2005,-12.298,52.721,"VIIc","V",0.432510633188571,"POD",0.004,1
"71","IGFS2005",12,2005,-12.298,52.721,"VIIc","V",0.432510633188571,"WHB",347.174,5288.775
"72","IGFS2005",13,2005,-12.41,52.974,"VIIc","V",0.445321928364759,"BOF",1.716,29
"73","IGFS2005",13,2005,-12.41,52.974,"VIIc","V",0.445321928364759,"HOM",1.123,4
"74","IGFS2005",13,2005,-12.41,52.974,"VIIc","V",0.445321928364759,"MAC",0.235,1
"75","IGFS2005",13,2005,-12.41,52.974,"VIIc","V",0.445321928364759,"MEG",1.999,27
"76","IGFS2005",13,2005,-12.41,52.974,"VIIc","V",0.445321928364759,"MON",3.182,1
"77","IGFS2005",13,2005,-12.41,52.974,"VIIc","V",0.445321928364759,"WHB",645.98,9671.992
"78","IGFS2005",14,2005,-12.841,52.908,"VIIc","V",0.477449234591751,"BOF",1.683,26
"79","IGFS2005",14,2005,-12.841,52.908,"VIIc","V",0.477449234591751,"MEG",0.91,14
"80","IGFS2005",14,2005,-12.841,52.908,"VIIc","V",0.477449234591751,"MON",21.311,4
"81","IGFS2005",14,2005,-12.841,52.908,"VIIc","V",0.477449234591751,"WHB",299.126,3032.018
"82","IGFS2005",15,2005,-12.57,53.15,"VIIc","V",0.445691248639863,"BOF",1.52,23
"83","IGFS2005",15,2005,-12.57,53.15,"VIIc","V",0.445691248639863,"HOM",0.445,1
"84","IGFS2005",15,2005,-12.57,53.15,"VIIc","V",0.445691248639863,"MEG",2.668,30
"85","IGFS2005",15,2005,-12.57,53.15,"VIIc","V",0.445691248639863,"MON",13.44,4
"86","IGFS2005",15,2005,-12.57,53.15,"VIIc","V",0.445691248639863,"POD",0.004,1
"87","IGFS2005",15,2005,-12.57,53.15,"VIIc","V",0.445691248639863,"WHB",108.579,1321.537
"88","IGFS2005",16,2005,-8.256,51.645,"VIIg","V",0.29393603373556,"BOF",0.006,1
"89","IGFS2005",16,2005,-8.256,51.645,"VIIg","V",0.29393603373556,"COD",0.705,1
"90","IGFS2005",16,2005,-8.256,51.645,"VIIg","V",0.29393603373556,"DAB",0.344,7
"91","IGFS2005",16,2005,-8.256,51.645,"VIIg","V",0.29393603373556,"GUG",0.374,8
"92","IGFS2005",16,2005,-8.256,51.645,"VIIg","V",0.29393603373556,"HAD",0.986,3
"93","IGFS2005",16,2005,-8.256,51.645,"VIIg","V",0.29393603373556,"HOM",0.719,53
"94","IGFS2005",16,2005,-8.256,51.645,"VIIg","V",0.29393603373556,"JOD",2.143,7
"95","IGFS2005",16,2005,-8.256,51.645,"VIIg","V",0.29393603373556,"LSD",14.38,15
"96","IGFS2005",16,2005,-8.256,51.645,"VIIg","V",0.29393603373556,"MAC",2.489,12
"97","IGFS2005",16,2005,-8.256,51.645,"VIIg","V",0.29393603373556,"MEG",2.915,9
"98","IGFS2005",16,2005,-8.256,51.645,"VIIg","V",0.29393603373556,"MON",3.616,2
"99","IGFS2005",16,2005,-8.256,51.645,"VIIg","V",0.29393603373556,"NOP",2.091,429.973
"100","IGFS2005",16,2005,-8.256,51.645,"VIIg","V",0.29393603373556,"POD",14.715,1813.643
"101","IGFS2005",16,2005,-8.256,51.645,"VIIg","V",0.29393603373556,"SPR",6.581,442.669
"102","IGFS2005",16,2005,-8.256,51.645,"VIIg","V",0.29393603373556,"WHG",41.647,277.228
"103","IGFS2005",18,2005,-7.855,51.618,"VIIg","V",0.396916319146296,"COD",4.15,4
"104","IGFS2005",18,2005,-7.855,51.618,"VIIg","V",0.396916319146296,"DAB",0.328,6
"105","IGFS2005",18,2005,-7.855,51.618,"VIIg","V",0.396916319146296,"HAD",41.452,227.898
"106","IGFS2005",18,2005,-7.855,51.618,"VIIg","V",0.396916319146296,"HER",0.413,4
"107","IGFS2005",18,2005,-7.855,51.618,"VIIg","V",0.396916319146296,"HOM",0.07,19
"108","IGFS2005",18,2005,-7.855,51.618,"VIIg","V",0.396916319146296,"LSD",6.78,7
"109","IGFS2005",18,2005,-7.855,51.618,"VIIg","V",0.396916319146296,"MAC",0.32,1
"110","IGFS2005",18,2005,-7.855,51.618,"VIIg","V",0.396916319146296,"MEG",1.255,3
"111","IGFS2005",18,2005,-7.855,51.618,"VIIg","V",0.396916319146296,"MON",0.475,1
"112","IGFS2005",18,2005,-7.855,51.618,"VIIg","V",0.396916319146296,"NOP",48.485,6770.915
"113","IGFS2005",18,2005,-7.855,51.618,"VIIg","V",0.396916319146296,"PLE",0.304,1
"114","IGFS2005",18,2005,-7.855,51.618,"VIIg","V",0.396916319146296,"POD",0.925,137.402
"115","IGFS2005",18,2005,-7.855,51.618,"VIIg","V",0.396916319146296,"SPR",18.25,1782.301
"116","IGFS2005",18,2005,-7.855,51.618,"VIIg","V",0.396916319146296,"WHB",0.452,7
