"","SurveyCodeICES","longitude","latitude","time","Year","Haul_Code","Vessel_Code","Species_Code","Common_Name","Length_Split","Total_Number_Fish_Per_Hour","Junvenile_Number_Fish_Per_Hour","Adult_Number_Fish_Per_Hour"
"46","IGFS                    ",-9.354,51.117,"2012-01-01T00:00:00Z",2012,"75","EXP","HKE","European Hake",20,3011.5,2610.28,401.22
"47","IGFS                    ",-8.181,56.017,"2012-01-01T00:00:00Z",2012,"39","EXP","HOM","Horse Mackerel (Scad)",15,133.55,106.45,27.1
"48","IGFS                    ",-6.501,51.831,"2012-01-01T00:00:00Z",2012,"112","EXP","HOM","Horse Mackerel (Scad)",15,1495.32,1495.32,0
"49","IGFS                    ",-10.724,51.256,"2012-01-01T00:00:00Z",2012,"68","EXP","SDR","Spotted Ray",NA,0,0,0
"50","IGFS                    ",-11.521,51.917,"2012-01-01T00:00:00Z",2012,"64","EXP","JAA","Blue Jack Mackerel ( Blue Scad)",NA,0,0,0
"51","IGFS                    ",-8.542,51.201,"2012-01-01T00:00:00Z",2012,"127","EXP","JAA","Blue Jack Mackerel ( Blue Scad)",NA,0,0,0
"52","IGFS                    ",-7.854,51.363,"2012-01-01T00:00:00Z",2012,"78","EXP","DGN","Nurse Hound",NA,0,0,0
"53","IGFS                    ",-10.195,50.098,"2012-01-01T00:00:00Z",2012,"141","EXP","DGN","Nurse Hound",NA,0,0,0
"54","IGFS                    ",-8.991,55.799,"2012-01-01T00:00:00Z",2012,"15","EXP","COD","Atlantic Cod",23,0,0,0
"55","IGFS                    ",-5.803,51.087,"2012-01-01T00:00:00Z",2012,"91","EXP","COD","Atlantic Cod",23,0,0,0
"56","IGFS                    ",-10.349,51.312,"2012-01-01T00:00:00Z",2012,"70","EXP","DGS","Spurdog",NA,0,0,0
"57","IGFS                    ",-9.344,51.424,"2012-01-01T00:00:00Z",2012,"133","EXP","DGS","Spurdog",NA,0,0,0
"58","IGFS                    ",-10.451,54.722,"2013-01-01T00:00:00Z",2013,"1","EXP","COD","Atlantic Cod",23,7.5,0,7.5
"59","IGFS                    ",-10.068,55.083,"2013-01-01T00:00:00Z",2013,"2","EXP","COD","Atlantic Cod",23,2,0,2
"60","IGFS                    ",-9.559,55.109,"2013-01-01T00:00:00Z",2013,"3","EXP","COD","Atlantic Cod",23,0,0,0
"61","IGFS                    ",-9.339,55.334,"2013-01-01T00:00:00Z",2013,"4","EXP","COD","Atlantic Cod",23,0,0,0
"62","IGFS                    ",-9.547,55.486,"2013-01-01T00:00:00Z",2013,"5","EXP","COD","Atlantic Cod",23,8,0,8
"63","IGFS                    ",-9.165,55.581,"2013-01-01T00:00:00Z",2013,"6","EXP","COD","Atlantic Cod",23,2,0,2
"64","IGFS                    ",-8.99,55.791,"2013-01-01T00:00:00Z",2013,"7","EXP","COD","Atlantic Cod",23,0,0,0
"65","IGFS                    ",-9.223,55.993,"2013-01-01T00:00:00Z",2013,"8","EXP","COD","Atlantic Cod",23,0,0,0
"66","IGFS                    ",-8.87,56.009,"2013-01-01T00:00:00Z",2013,"9","EXP","COD","Atlantic Cod",23,0,0,0
"67","IGFS                    ",-8.817,56.143,"2013-01-01T00:00:00Z",2013,"10","EXP","COD","Atlantic Cod",23,2,0,2
"68","IGFS                    ",-8.211,56,"2013-01-01T00:00:00Z",2013,"11","EXP","COD","Atlantic Cod",23,0,0,0
"69","IGFS                    ",-8.112,56.294,"2013-01-01T00:00:00Z",2013,"12","EXP","COD","Atlantic Cod",23,0,0,0
"70","IGFS                    ",-7.632,56.341,"2013-01-01T00:00:00Z",2013,"13","EXP","COD","Atlantic Cod",23,0,0,0
"71","IGFS                    ",-7.607,56.228,"2013-01-01T00:00:00Z",2013,"14","EXP","COD","Atlantic Cod",23,0,0,0
"72","IGFS                    ",-7.634,56.065,"2013-01-01T00:00:00Z",2013,"15","EXP","COD","Atlantic Cod",23,0,0,0
"73","IGFS                    ",-7.671,55.879,"2013-01-01T00:00:00Z",2013,"16","EXP","COD","Atlantic Cod",23,0,0,0
"74","IGFS                    ",-7.31,56.211,"2013-01-01T00:00:00Z",2013,"17","EXP","COD","Atlantic Cod",23,2,0,2
"75","IGFS                    ",-7.066,56.304,"2013-01-01T00:00:00Z",2013,"18","EXP","COD","Atlantic Cod",23,0,0,0
"76","IGFS                    ",-6.727,56.186,"2013-01-01T00:00:00Z",2013,"19","EXP","COD","Atlantic Cod",23,0,0,0
"77","IGFS                    ",-6.968,56.052,"2013-01-01T00:00:00Z",2013,"20","EXP","COD","Atlantic Cod",23,2,0,2
"78","IGFS                    ",-6.308,55.37,"2013-01-01T00:00:00Z",2013,"21","EXP","COD","Atlantic Cod",23,8,0,8
"79","IGFS                    ",-6.482,55.297,"2013-01-01T00:00:00Z",2013,"22","EXP","COD","Atlantic Cod",23,6,0,6
"80","IGFS                    ",-6.849,55.368,"2013-01-01T00:00:00Z",2013,"23","EXP","COD","Atlantic Cod",23,144,0,144
"81","IGFS                    ",-6.769,55.556,"2013-01-01T00:00:00Z",2013,"25","EXP","COD","Atlantic Cod",23,1.88,0,1.88
"82","IGFS                    ",-6.681,55.893,"2013-01-01T00:00:00Z",2013,"26","EXP","COD","Atlantic Cod",23,2,0,2
"83","IGFS                    ",-7.271,55.98,"2013-01-01T00:00:00Z",2013,"27","EXP","COD","Atlantic Cod",23,0,0,0
"84","IGFS                    ",-7.114,55.803,"2013-01-01T00:00:00Z",2013,"28","EXP","COD","Atlantic Cod",23,0,0,0
"85","IGFS                    ",-7.33,55.629,"2013-01-01T00:00:00Z",2013,"29","EXP","COD","Atlantic Cod",23,3.87,0,3.87
"86","IGFS                    ",-7.512,55.617,"2013-01-01T00:00:00Z",2013,"30","EXP","COD","Atlantic Cod",23,6,0,6
"87","IGFS                    ",-7.745,55.539,"2013-01-01T00:00:00Z",2013,"31","EXP","COD","Atlantic Cod",23,0,0,0
"88","IGFS                    ",-7.582,55.257,"2013-01-01T00:00:00Z",2013,"32","EXP","COD","Atlantic Cod",23,0,0,0
