"","Group.1","Group.2","Group.3","Group.4","Group.5","Group.6","AreaKmSq","CatchKg","RaisedNo"
"926","IGFS2010",2010,181,-11.213,53.904,"VIIb",4.39130964633391,221.115,8255.59
"927","IGFS2006",2006,24,-11.208,53.915,"VIIb",5.70021236784563,167.416,5785.35
"928","IGFS2015",2015,145,-11.207,53.918,"VIIb",5.42400812767896,85.859,1080.186
"929","IGFS2016",2016,113,-11.202,53.924,"VIIb",4.23714384719992,39.052,636.503
"930","IGFS2009",2009,74,-11.187,53.948,"VIIb",5.59761226319845,149.839,3914.247
"931","IGFS2010",2010,136,-11.904,53.95,"VIIb",4.15010868108031,251.625,4429.662
"932","IGFS2009",2009,76,-11.887,53.95,"VIIb",2.43854548247554,116.145,1278.394
"933","IGFS2013",2013,166,-11.869,53.95,"VIIb",1.39930655932417,181.734,2169.716
"934","IGFS2015",2015,143,-11.936,53.951,"VIIb",4.2998752404782,376.532,4451.258
"935","IGFS2017",2017,84,-11.934,53.951,"VIIb",1.06256830473958,328.089,4166.682
"936","IGFS2008",2008,72,-11.931,53.951,"VIIb",2.96517427665067,127.999,1073.067
"937","IGFS2006",2006,19,-11.926,53.951,"VIIb",2.42652598671159,67.355,707.901
"938","IGFS2007",2007,70,-11.919,53.951,"VIIb",2.60083406302958,63.537,530.126
"939","IGFS2005",2005,2,-11.884,53.951,"VIIb",1.37870794595119,56.373,660.255
"940","IGFS2005",2005,1,-11.664,53.953,"VIIb",1.74333814385321,46.289,603.661
"941","IGFS2006",2006,20,-11.56,53.954,"VIIb",2.96108088530988,247.565,3644.665
"942","IGFS2015",2015,144,-11.551,53.954,"VIIb",4.72410860205838,863.291,15982.274
"943","IGFS2010",2010,137,-11.54,53.954,"VIIb",3.46634260947794,57.55,1011.008
"944","IGFS2008",2008,66,-11.183,53.954,"VIIb",4.49615031341544,771.892,23714.678
"945","IGFS2007",2007,72,-11.529,53.955,"VIIb",2.88331341890218,745.995,22472.98
"946","IGFS2009",2009,75,-11.52,53.955,"VIIb",3.85980938374313,24.628,312
"947","IGFS2013",2013,168,-11.477,53.955,"VIIb",2.78726194024958,167.134,2381.171
"948","IGFS2005",2005,103,-11.183,53.955,"VIIb",4.31319287147521,227.111,10527.948
"949","IGFS2008",2008,67,-11.489,53.956,"VIIb",2.762202318386,90.52,1487.137
"950","IGFS2007",2007,73,-11.177,53.957,"VIIb",5.06561164405236,191.02,6890.153
"951","IGFS2014",2014,58,-11.297,54.015,"VIIb",6.20737838141816,128.367,4322.957
"952","IGFS2012",2012,177,-11.081,54.064,"VIIb",4.64002765243031,278.794,8559.494
"953","IGFS2017",2017,77,-11.067,54.069,"VIIb",6.55049254572116,56.554,521.625
"954","IGFS2016",2016,122,-11.039,54.077,"VIIb",4.08170357905335,164.539,2928.169
"955","IGFS2015",2015,146,-10.995,54.111,"VIIb",4.42506204629609,157.779,2483.089
"956","IGFS2015",2015,147,-10.706,54.131,"VIIb",7.60021637855018,806.165,6913.706
"957","IGFS2012",2012,178,-10.704,54.132,"VIIb",5.71145802591753,181.721,1507.88
"958","IGFS2008",2008,62,-10.705,54.133,"VIIb",5.19453205894454,352.556,3347.22
"959","IGFS2013",2013,169,-11.282,54.137,"VIIb",3.69335930070654,177.058,2090.421
"960","IGFS2006",2006,25,-11.276,54.141,"VIIb",3.23204767904159,227.117,4110.11
"961","IGFS2007",2007,67,-10.994,54.141,"VIIb",5.6800606535036,317.461,6150.211
"962","IGFS2005",2005,107,-10.701,54.141,"VIIb",7.05402052844708,597.437,5979.252
"963","IGFS2007",2007,68,-11.263,54.145,"VIIb",0.482456870234293,4.59,2
"964","IGFS2008",2008,65,-11.262,54.145,"VIIb",4.40336180774208,79.88,916.756
"965","IGFS2010",2010,184,-10.697,54.145,"VIIb",5.93431672594966,1549.804,10360.138
"966","IGFS2007",2007,66,-10.697,54.147,"VIIb",7.71881707841132,244.645,2399.307
"967","IGFS2009",2009,62,-10.694,54.152,"VIIb",7.04199835824842,316.923,4138.491
"968","IGFS2009",2009,73,-11.24,54.154,"VIIb",3.4920598154795,242.639,4838.325
"969","IGFS2014",2014,48,-10.691,54.158,"VIIb",6.45404602986205,654.253,3205.768
"970","IGFS2005",2005,109,-11.223,54.162,"VIIb",2.74363312636209,14.743,143
"971","IGFS2016",2016,121,-10.677,54.179,"VIIb",7.4747293747979,542.508,6032.382
"972","IGFS2013",2013,170,-10.998,54.2,"VIIb",4.97679319039964,395.66,4232.078
"973","IGFS2017",2017,78,-10.999,54.214,"VIIb",4.79405969986352,448.346,4383.049
"974","IGFS2014",2014,47,-11,54.216,"VIIb",4.32634574277169,266.068,2955.979
"975","IGFS2009",2009,72,-11.001,54.219,"VIIb",5.0918708950279,192.508,1709.574
"976","IGFS2008",2008,64,-11,54.228,"VIIb",4.45238185671316,268.672,2666.239
"977","IGFS2005",2005,108,-11.001,54.246,"VIIb",4.57568468984064,222.955,4716.965
"978","IGFS2016",2016,123,-11.203,54.26,"VIIb",2.34468813687111,221.233,3143.649
"979","IGFS2008",2008,63,-11.199,54.263,"VIIb",3.12417492527766,117.059,1232.619
"980","IGFS2012",2012,175,-11.195,54.267,"VIIb",3.98976732051526,95.83,573.375
"981","IGFS2007",2007,69,-11.195,54.27,"VIIb",2.69574973989739,121.465,1708.439
"982","IGFS2012",2012,47,-11.183,54.285,"VIIb",3.4096019679716,72.166,796.074
"983","IGFS2014",2014,49,-10.375,54.288,"VIIb",6.66823548721988,1787.493,33860.847
"984","IGFS2010",2010,183,-11.177,54.289,"VIIb",2.71600574929463,124.802,1698.957
"985","IGFS2012",2012,179,-10.369,54.289,"VIIb",5.2192966165352,1995.702,38598.619
