metadata_id,Date,Year,Month,Vessel,Functional_Unit,Fishing_Grounds,Survey_Code,Haul,Sample_Type,Sex,CLmm,NepCount,PredWt_Kg,fldShotLatDecimalDegrees,fldShotLonDecimalDegrees,fldHaulLatDecimalDegrees,fldHaulLonDecimalDegrees,Gear_Type,TowDurationMin,AreaKmSq
MI3058121_31102013,00:00.0,2013,10,Celtic Explorer,2021,"Labadie, Jones & Cockburn",IGFS2013,64,Catch,Male,16,1,0.002604349,50.649,-7.34,50.646,-7.288,Groundgear_A,30,0.432817035
MI3058114_30102013,00:00.0,2013,10,Celtic Explorer,19,Bantry Bay,IGFS2013,55,Catch,Male,46,3,0.216244769,51.627,-9.699,51.611,-9.745,Groundgear_A,30,0.276635493
3DYAA01482129_29102004,00:00.0,2004,10,Celtic Explorer,19,NoFishingGround,IGFS2004,91,Catch,Male,7,1,0.000177649,51.429,-8.59,51.425,-8.54,Groundgear_A,30,0.399675934
MI307415_21112012,00:00.0,2012,11,Celtic Explorer,22,Smalls,IGFS2012,86,Catch,Male,46,5,0.352851564,51.184,-6.132,51.152,-6.145,Groundgear_A,30,0.40748338
MI3058132_06112013,00:00.0,2013,11,Celtic Explorer,22,Smalls,IGFS2013,90,Catch,Male,11,2,0.001809842,51.357,-6.01,51.391,-6.015,Groundgear_A,30,0.430769543
TOUGHBOOK123_29102005,00:00.0,2005,10,Celtic Explorer,22,Smalls,IGFS2005,33,Catch,Female,29,1,0.014833503,51.218,-6.6,51.195,-6.63,Groundgear_A,30,0.406887717
3DYAA01482139_12112004,00:00.0,2004,11,Celtic Explorer,15,W Irish Sea,IGFS2004,131,Catch,Male,34,1,0.026910324,54.029,-5.239,54.046,-5.196,Groundgear_A,30,0.386881081
MI3073122_12122011,00:00.0,2011,12,Celtic Explorer,17,Galway bay,IGFS2011,165,Catch,Male,29,3,0.050602755,53.193,-9.397,53.194,-9.453,Groundgear_A,30,0.239648541
TOUGHBOOK1144_26112003,00:00.0,2003,11,Celtic Explorer,15,W Irish Sea,IGFS2003,136,Catch,Male,30,11,0.201573293,53.783,-5.907,53.754,-5.912,Groundgear_A,30,0.259561165
TOUGHBOOK224_21112006,00:00.0,2006,11,Celtic Explorer,22,Smalls,IGFS2006,146,Catch,Male,27,13,0.173398953,51.233,-6.335,51.199,-6.335,Groundgear_A,30,0.472822755
MI307489_03122014,00:00.0,2014,12,Celtic Explorer,2021,"Labadie, Jones & Cockburn",IGFS2014,132,Catch,Male,32,19,0.424503933,50.637,-8.213,50.619,-8.253,Groundgear_A,29,0.401476574
MI3073104_28112011,00:00.0,2011,11,Celtic Explorer,19,NoFishingGround,IGFS2011,126,Catch,Female,30,3,0.051507648,51.443,-8.559,51.458,-8.513,Groundgear_A,31,0.407231146
WKSTN110_30092011,00:00.0,2011,9,Celtic Explorer,12,NoFishingGround,IGFS2011,32,Catch,Male,26,7,0.07949047,56.403,-6.766,56.374,-6.794,Groundgear_D,30,0.289749397
TOUGHBOOK2127_19112006,00:00.0,2006,11,Celtic Explorer,2021,"Labadie, Jones & Cockburn",IGFS2006,136,Catch,Female,34,1,0.023801664,50.53,-8.037,50.513,-8.082,Groundgear_A,30,0.478525035
MI307390_19112011,00:00.0,2011,11,Celtic Explorer,2021,"Labadie, Jones & Cockburn",IGFS2011,82,Catch,Male,37,9,0.324328822,50.534,-8.025,50.517,-8.068,Groundgear_A,30,0.430558393
MI307384_17112011,00:00.0,2011,11,Celtic Explorer,22,Smalls,IGFS2011,74,Catch,Female,27,5,0.06236658,51.45,-6.135,51.48,-6.119,Groundgear_A,31,0.422869362
