metadata_id,Date,Year,Month,Vessel,Functional_Unit,Fishing_Grounds,Survey_Code,Haul,Sample_Type,Sex,CLmm,NepCount,PredWt_Kg
MI3073114_05122011,00:00.0,2011,12,Celtic Explorer,19,NoFishingGround,IGFS2011,138,Catch,Male,24,1,0.009097591
D6MF0R0J23_16112007,00:00.0,2007,11,Celtic Explorer,22,Smalls,IGFS2007,143,Catch,Male,39,10,0.417661757
MI307393_20112011,00:00.0,2011,11,Celtic Explorer,2021,NoFishingGround,IGFS2011,85,Catch,Male,39,1,0.041653785
TOUGHBOOK29_05112006,00:00.0,2006,11,Celtic Explorer,99,NoFishingGround,IGFS2006,79,Catch,Male,35,1,0.029635938
MI3073102_28112011,00:00.0,2011,11,Celtic Explorer,19,NoFishingGround,IGFS2011,124,Catch,Male,37,10,0.359376797
TOUGHBOOK1129_16112003,00:00.0,2003,11,Celtic Explorer,19,NoFishingGround,IGFS2003,89,Catch,Male,28,1,0.014316546
MI307391_19112011,00:00.0,2011,11,Celtic Explorer,2021,"Labadie, Jones & Cockburn",IGFS2011,83,Catch,Male,26,12,0.142005681
TOUGHBOOK219_12112006,00:00.0,2006,11,Celtic Explorer,17,Galway bay,IGFS2006,113,Catch,Female,17,1,0.003502522
WKSTN113_22112010,00:00.0,2010,11,Celtic Explorer,2021,"Labadie, Jones & Cockburn",IGFS2010,80,Catch,Female,21,2,0.012647384
D6MF0R0J32_25112007,00:00.0,2007,11,Celtic Explorer,22,Smalls,IGFS2007,180,Catch,Male,29,27,0.447592613
MI307478_01122014,00:00.0,2014,12,Celtic Explorer,22,Smalls,IGFS2014,121,Catch,Male,35,3,0.0906354
MI3073105_28112011,00:00.0,2011,11,Celtic Explorer,19,NoFishingGround,IGFS2011,127,Catch,Male,32,3,0.067857278
MI307449_03102014,00:00.0,2014,10,Celtic Explorer,99,NoFishingGround,IGFS2014,44,Catch,Male,38,3,0.117025035
WKSTN116_08112009,00:00.0,2009,11,Celtic Explorer,2021,"Labadie, Jones & Cockburn",IGFS2009,103,Catch,Male,28,1,0.014300236
WKSTN120_11112009,00:00.0,2009,11,Celtic Explorer,2021,NoFishingGround,IGFS2009,121,Catch,Male,32,7,0.159168609
