"","FID","fldCruiseName","fldPrimeStation","fldGearCode","fldShotDepth","fldHaulDepth","fldCruiseStationNumber","HaulCnt","Gear_Type","SweepLngt","fldICESRectangle","fldValidityCode","fldDateTimeShot","TowDurationMin","fldShotLatDecimalDegrees","fldShotLonDecimalDegrees","fldHaulLatDecimalDegrees","fldHaulLonDecimalDegrees","fldStratum","DoorSpread","fldWingSpread","fldHeadlineHeight","Dist_Nmi","Dist_Km","AreaKmSq","ObsVal","SweepAngle","Warp","Heave_m","Pitch_deg","Roll_deg","WindSpeed_Kts","fldGearDamage","fldStationComment","LoadDate"
"1",1,"IGFS2003","95",101010101,147,147,1,1,"Groundgear_A","Long","36D9","V",2003-10-31 13:49:00,30,53.747,-10.863,53.713,-10.877,"VIIbDeep",122,21,4,2.0996053751625,3.89537175354824,0.475235353932886,"Y",22.7105527692059,"",NA,NA,NA,NA,"Gear:			Smooth GOV, 100m sweeps, all Scanmar sensors except catch sensor
Modifications made:	Pulled crimp on bridle was spliced and short chain extension added
Doors very unstable, increased attack angle needed. VALID HAUL","Gear:			Smooth GOV, 100m sweeps, all Scanmar sensors except catch sensor
Modifications made:	Pulled crimp on bridle was spliced and short chain extension added
Doors very unstable, increased attack angle needed. VALID HAUL",2018-03-13 00:40:05
"2",2,"IGFS2003","MB1",101010101,173,173,2,1,"Groundgear_A","Long","36D8","V",2003-10-31 16:43:00,30,53.811,-11.069,53.842,-11.042,"VIIbDeep",133,23,5,2.09211700813369,3.88147867928328,0.516236664344677,"Y",24.8905418113007,"",NA,NA,NA,NA,"Nil
","Nil
",2018-03-13 00:40:05
"3",3,"IGFS2003","26",101020101,95,95,3,1,"Groundgear_D","Long","38E0","V",2003-10-22 09:16:00,31,54.776,-9.649,54.801,-9.604,"VIaMedium",103,20,5,2.16442387148989,4.01562870406288,0.413609756518476,"Y",19.0231020228998,"",NA,NA,NA,NA,"Doors swimming, and spread low, need to take in another link on back-straps. Short lift-off with increase in vessel speed. 
","Doors swimming, and spread low, need to take in another link on back-straps. Short lift-off with increase in vessel speed. 
",2018-03-13 00:40:05
"4",4,"IGFS2003","27",101020101,90,90,4,1,"Groundgear_D","Long","38E0","V",2003-10-22 11:49:00,30,54.967,-9.398,54.996,-9.42,"VIaMedium",97,19,6,1.89849800618955,3.52225975174314,0.341659195919084,"Y",17.8762430604144,"",NA,NA,NA,NA,"Wing end spreads very unstable. 
","Wing end spreads very unstable. 
",2018-03-13 00:40:05
"5",5,"IGFS2003","28",101020101,117,117,5,1,"Groundgear_D","Long","39E0","V",2003-10-22 14:00:00,30,55.109,-9.558,55.119,-9.509,"VIaMedium",102,20,6.5,1.78898594977599,3.31908339476066,0.338546506265587,"Y",18.8314222723458,"",NA,NA,NA,NA,"Headline consistently high, need to give more spread to the doors.","Headline consistently high, need to give more spread to the doors.",2018-03-13 00:40:05
"6",6,"IGFS2003","29",101020101,105,105,6,1,"Groundgear_D","Long","39E0","I",2003-10-22 15:49:00,31,55.157,-9.362,55.192,-9.359,"VIaMedium",100,20,6,2.10270465927156,3.90112181683035,0.390112181683035,"Y",18.4487152303212,"",NA,NA,NA,NA,"10m tear along wing. INVALID HAUL

Benthic Grab and Stationary Vessel Profile taken.
Steamed overnight taking Multi-beam swathes along 3 prospective tows.
","10m tear along wing. INVALID HAUL

Benthic Grab and Stationary Vessel Profile taken.
Steamed overnight taking Multi-beam swathes along 3 prospective tows.
",2018-03-13 00:40:05
"7",7,"IGFS2003","5",101020101,118,118,7,1,"Groundgear_D","Long","40E0","V",2003-10-23 09:05:00,30,55.735,-9.101,55.715,-9.144,"VIaMedium",100,17,6,1.88716705979274,3.50123758774164,0.350123758774164,"Y",18.4487152303212,"",NA,NA,NA,NA,"Overshot known tow, Stability very sensitive to vessel speed. ","Overshot known tow, Stability very sensitive to vessel speed. ",2018-03-13 00:40:05
"8",8,"IGFS2003","6",101020101,105,105,8,1,"Groundgear_D","Long","40E1","V",2003-10-23 11:01:00,30,55.651,-8.912,55.633,-8.875,"VIaMedium",95,17,6,1.65642787676571,3.07315004965808,0.291949254717518,"Y",17.4956212051464,"",NA,NA,NA,NA,"Seemed to come fast halfway through tow, tensions went up on warps, small tear in port wing end, swivel sleeves in groundrope are not surrounded by washers, allowing rubbers to ride up over sleeves and clamp onto chain preventing movement. ","Seemed to come fast halfway through tow, tensions went up on warps, small tear in port wing end, swivel sleeves in groundrope are not surrounded by washers, allowing rubbers to ride up over sleeves and clamp onto chain preventing movement. ",2018-03-13 00:40:05
"9",9,"IGFS2003","R213",101020101,105,105,9,1,"Groundgear_D","Long","40E0","V",2003-10-23 13:28:00,37,55.612,-9.166,55.579,-9.152,"VIaMedium",90,18,6,2.03664498951317,3.77856213267749,0.340070591940974,"Y",16.5474992772596,"",NA,NA,NA,NA,"Another small tear in port wing end. ","Another small tear in port wing end. ",2018-03-13 00:40:05
"10",10,"IGFS2003","R210",101020101,105,105,10,1,"Groundgear_D","Long","39E0","V",2003-10-23 15:40:00,30,55.43,-9.253,55.402,-9.252,"VIaDeep",100,20,6,1.68055677863996,3.11791610137284,0.311791610137284,"Y",18.4487152303212,"",NA,NA,NA,NA,"Nil","Nil",2018-03-13 00:40:05
"11",11,"IGFS2003","R217",101020101,108,108,11,1,"Groundgear_D","Long","39E0","V",2003-10-23 17:00:00,34,55.357,-9.297,55.333,-9.341,"VIaMedium",100,19,5,2.082785512644,3.86416607169574,0.386416607169574,"Y",18.4487152303212,"",NA,NA,NA,NA,"Rockhopper GOV taken from the drum and put in creel, arrangements made to have the net and groundgear sent back to IC trawl to be rebuilt.","Rockhopper GOV taken from the drum and put in creel, arrangements made to have the net and groundgear sent back to IC trawl to be rebuilt.",2018-03-13 00:40:05
"12",12,"IGFS2003","2",101010101,145,145,12,1,"Groundgear_A","Long","41E1","V",2003-10-24 08:34:00,29,56.315,-8.326,56.319,-8.287,"VIaDeep",118,21,6,1.32276944707226,2.45411771256449,0.28958589008261,"Y",21.9265520801114,"",NA,NA,NA,NA,"Nil
","Nil
",2018-03-13 00:40:05
"13",13,"IGFS2003","1",101010101,175,175,13,1,"Groundgear_A","Long","41E1","V",2003-10-24 10:18:00,30,56.327,-8.062,56.33,-7.99,"VIaDeep",113,21,5,2.40750221142673,4.46660892658019,0.504726808703562,"Y",20.9525661202979,"",NA,NA,NA,NA,"Nil
","Nil
",2018-03-13 00:40:05
"14",48,"IGFS2003","59",101010101,64,64,48,1,"Groundgear_A","Short","35E0","V",2003-10-31 14:45:00,30,53.033,-9.668,53.052,-9.716,"VIIbCoast",74,19,5,2.07606623875553,3.85169988637389,0.285025791591668,"Y",21.0525039441795,"",NA,NA,NA,NA,"Nil
","Nil
",2018-03-13 00:40:05
"15",14,"IGFS2003","MB2",101010101,100,100,14,1,"Groundgear_A","Long","41E2","V",2003-10-24 12:55:00,30,56.212,-7.753,56.189,-7.796,"VIaMedium",109,20,5,1.99371084577547,3.69890694949066,0.403180857494482,"Y",20.1779322895175,"",NA,NA,NA,NA,"Depth decreasing throughout tow warp length shortened to 390m 15 minutes into tow. 
","Depth decreasing throughout tow warp length shortened to 390m 15 minutes into tow. 
",2018-03-13 00:40:05
"16",15,"IGFS2003","93",101010101,88,88,15,1,"Groundgear_A","Long","41E2","V",2003-10-24 15:25:00,31,56.213,-7.298,56.221,-7.248,"VIaMedium",108,20,5,1.73961882876763,3.22749318880821,0.348569264391287,"Y",19.9848799707224,"",NA,NA,NA,NA,"Nil
","Nil
",2018-03-13 00:40:05
"17",16,"IGFS2003","3",101010101,155,155,16,1,"Groundgear_A","Long","41E1","V",2003-10-25 07:53:00,30,56.072,-8.272,56.063,-8.226,"VIaDeep",119,21,4,1.63600184316696,3.03525388342664,0.361195212127771,"Y",22.1221411162187,"",NA,NA,NA,NA,"Nil
","Nil
",2018-03-13 00:40:05
"18",17,"IGFS2003","MB3",101010101,152,152,17,1,"Groundgear_A","Long","41E1","V",2003-10-25 09:40:00,31,56,-8.217,56.019,-8.179,"VIaDeep",124,23,5,1.71244812719481,3.17708372392357,0.393958381766523,"Y",23.1042324731245,"",NA,NA,NA,NA,"Nil
","Nil
",2018-03-13 00:40:05
"19",18,"IGFS2003","MB4",101010101,158,158,18,1,"Groundgear_A","Long","40E2","V",2003-10-25 11:47:00,32,55.981,-7.849,56,-7.803,"VIaDeep",123,21,4,1.92209491806358,3.56603880902334,0.438622773509871,"Y",22.9072497416419,"",NA,NA,NA,NA,"Nil
","Nil
",2018-03-13 00:40:05
"20",19,"IGFS2003","MB5",101010101,160,160,19,1,"Groundgear_A","Long","40E2","V",2003-10-25 13:42:00,30,55.916,-7.997,55.907,-7.935,"VIaDeep",123,21,5,2.15847172539864,4.00458576140749,0.492564048653122,"Y",22.9072497416419,"",NA,NA,NA,NA,"Nil
","Nil
",2018-03-13 00:40:05
"21",20,"IGFS2003","MB6",101010101,134,134,20,1,"Groundgear_A","Long","40E2","V",2003-10-25 15:20:00,30,55.855,-7.745,55.838,-7.744,"VIaDeep",124,21,5,1.02075811710492,1.89379984620579,0.234831180929518,"Y",23.1042324731245,"",NA,NA,NA,NA,"Nil
","Nil
",2018-03-13 00:40:05
"22",21,"IGFS2003","31",101010101,53.4,53.4,21,1,"Groundgear_A","Short","40E2","V",2003-10-25 18:05:00,30,55.693,-7.203,55.663,-7.221,"VIaCoast",69,20,5,1.90095400529807,3.52681633636006,0.243350327208844,"Y",19.5695860557249,"",NA,NA,NA,NA,"No evening grab or SVP taken - weather too rough.
Steamed overnight towards Sheephaven Bay, taking multibeam swathes along the way","No evening grab or SVP taken - weather too rough.
Steamed overnight towards Sheephaven Bay, taking multibeam swathes along the way",2018-03-13 00:40:05
"23",22,"IGFS2003","10",101010101,20,20,22,1,"Groundgear_A","Short","39E2","V",2003-10-26 07:58:00,32,55.202,-7.908,55.222,-7.939,"VIaCoast",45,18,NA,1.60361393699969,2.97516500371,0.13388242516695,"Y",12.617810825429,"",NA,NA,NA,NA,"Nil
","Nil
",2018-03-13 00:40:05
"24",23,"IGFS2003","MB7",101010101,57,57,23,1,"Groundgear_A","Short","40E2","V",2003-10-26 10:58:00,31,55.515,-7.688,55.511,-7.767,"VIaCoast",73,20,6,2.70074530534003,5.01065919358077,0.365778121131396,"Y",20.7547726469811,"",NA,NA,NA,NA,"Trawleye battery showed only 3 lights, removed battery for charging. Trawleye display but no readings.","Trawleye battery showed only 3 lights, removed battery for charging. Trawleye display but no readings.",2018-03-13 00:40:05
"25",24,"IGFS2003","MB8",101010101,63,63,24,1,"Groundgear_A","Short","39E2","I",2003-10-26 13:32:00,30,55.398,-7.996,55.387,-7.932,"VIaCoast",79,19,5,2.28342684522819,4.2364134419818,0.334676661916562,"Y",22.550348789434,"",NA,NA,NA,NA,"Trawleye gave no readings once well astern of ship. Trawleye display but no readings. ","Trawleye gave no readings once well astern of ship. Trawleye display but no readings. ",2018-03-13 00:40:05
"26",25,"IGFS2003","12",101010101,94,94,25,1,"Groundgear_A","Long","39E1","V",2003-10-26 17:18:00,30,55.387,-8.493,55.35,-8.475,"VIaMedium",105,20,5,2.30390693272317,4.27440989373501,0.448813038842176,"Y",19.4071284940789,"",NA,NA,NA,NA,"Trawleye gave no readings once well astern of ship. Trawleye display but no readings. ","Trawleye gave no readings once well astern of ship. Trawleye display but no readings. ",2018-03-13 00:40:05
"27",26,"IGFS2003","13",101010101,85,85,26,1,"Groundgear_A","Long","38E1","V",2003-10-27 07:18:00,31,54.574,-8.928,54.605,-8.966,"VIaMedium",100,20,5,2.28313266469025,4.23586765248655,0.423586765248655,"Y",18.4487152303212,"",NA,NA,NA,NA,"Trawleye display but no readings, other readings very stable. Torn net mended on deck.
","Trawleye display but no readings, other readings very stable. Torn net mended on deck.
",2018-03-13 00:40:05
"28",27,"IGFS2003","MB9",101010101,78,78,27,1,"Groundgear_A","Short","38E1","V",2003-10-27 11:12:00,31,54.557,-8.815,54.538,-8.867,"VIaCoast",100,20,5,2.14225648454992,3.97450182662323,0.397450182662323,"Y",29.0411004264518,"",NA,NA,NA,NA,"Trawleye display but no readings, other readings very stable.","Trawleye display but no readings, other readings very stable.",2018-03-13 00:40:05
"29",28,"IGFS2003","17",101010101,66,66,28,1,"Groundgear_A","Short","37E1","V",2003-10-27 14:03:00,30,54.493,-8.792,54.493,-8.748,"VIIbCoast",74,19,6,1.53676162764941,2.85113474517516,0.210983971142962,"Y",21.0525039441795,"",NA,NA,NA,NA,"Trawleye display but no readings, Trawlsounder giving inconsistent readings, other readings very stable. ","Trawleye display but no readings, Trawlsounder giving inconsistent readings, other readings very stable. ",2018-03-13 00:40:05
"30",29,"IGFS2003","15",101010101,54,54,29,1,"Groundgear_A","Short","38E1","V",2003-10-27 15:29:00,30,54.518,-8.583,54.519,-8.53,"VIaCoast",72,18,6,1.85091967244008,3.43398826055674,0.247247154760085,"Y",20.4576265070529,"",NA,NA,NA,NA,"Trawleye display but no readings, other readings very stable. ","Trawleye display but no readings, other readings very stable. ",2018-03-13 00:40:05
"31",49,"IGFS2003","62w",101010101,34,34,49,1,"Groundgear_A","Short","35E0","V",2003-10-31 17:05:00,30,53.196,-9.46,53.192,-9.406,"VIIbCoast",63,16,6,1.96006746575772,3.63648880474531,0.229098794698954,"Y",17.8078193659074,"140",NA,NA,NA,NA,"Nil","Nil",2018-03-13 00:40:05
"32",67,"IGFS2003","81",101010101,317,260,67,1,"Groundgear_A","Long","30D8","V",2003-11-09 10:44:00,30,50.707,-11.019,50.703,-10.978,"VIIjSlope",133,23,4,1.57943098023902,2.93029866463639,0.38972972239664,"Y",24.8905418113007,"",NA,NA,NA,27,"Nil
","Nil
",2018-03-13 00:40:05
"33",68,"IGFS2003","82",101010101,165,170,68,1,"Groundgear_A","Long","30D9","V",2003-11-09 14:04:00,30,50.717,-10.712,50.718,-10.754,"VIIjDeep",124,20,4,1.59988952017623,2.96825513947353,0.368063637294718,"Y",23.1042324731245,"",NA,NA,NA,21,"Nil
","Nil
",2018-03-13 00:40:05
"34",30,"IGFS2003","14",101010101,34,34,30,1,"Groundgear_A","Short","38E1","V",2003-10-27 16:49:00,26,54.575,-8.387,54.596,-8.342,"VIaCoast",80,19,5,2.01162034886128,3.73213422794301,0.298570738235441,"Y",22.8518402928684,"",NA,NA,NA,NA,"Trawleye display no readings, all other readings very stable during main part of the tow. Haul terminated 4 minutes early, due to abrupt increase in headline height seen on both trawleye display and trawlsounder","Trawleye display no readings, all other readings very stable during main part of the tow. Haul terminated 4 minutes early, due to abrupt increase in headline height seen on both trawleye display and trawlsounder",2018-03-13 00:40:05
"35",31,"IGFS2003","20",101010101,45,45,31,1,"Groundgear_A","Short","37E0","V",2003-10-28 07:34:00,30,54.349,-9.692,54.341,-9.645,"VIIbCoast",66,17,7,1.71595930563234,3.18359796963328,0.210117465995796,"Y",18.6864122369248,"",NA,NA,NA,NA,"Trawleye display but no readings, all other readings very stable.","Trawleye display but no readings, all other readings very stable.",2018-03-13 00:40:05
"36",32,"IGFS2003","MB10",101010101,83,83,32,1,"Groundgear_A","Long","37E0","V",2003-10-28 09:48:00,30,54.47,-9.42,54.495,-9.467,"VIIbMedium",103,19,5,2.22393899984599,4.1260463819035,0.42498277733606,"Y",19.0231020228998,"",NA,NA,NA,NA,"Nil
","Nil
",2018-03-13 00:40:05
"37",33,"IGFS2003","MB11",101010101,92,92,33,1,"Groundgear_A","Long","38E0","V",2003-10-28 11:31:00,30,54.502,-9.69,54.497,-9.738,"VIaMedium",106,20,5,1.70283465104848,3.15924796112891,0.334880283879665,"Y",19.5994810996481,"",NA,NA,NA,NA,"Nil
","Nil
",2018-03-13 00:40:05
"38",34,"IGFS2003","25",101010101,40,40,34,1,"Groundgear_A","Short","37E0","V",2003-10-28 13:55:00,29,54.292,-9.933,54.319,-9.923,"VIIbCoast",69,18,6,1.65746597165949,3.07507601421056,0.212180244980529,"Y",19.5695860557249,"",NA,NA,NA,NA,"Warp lengthened to 180m halfway through tow, due to increasing depth","Warp lengthened to 180m halfway through tow, due to increasing depth",2018-03-13 00:40:05
"39",35,"IGFS2003","22",101010101,113,113,35,1,"Groundgear_A","Long","37D9","V",2003-10-28 16:21:00,30,54.302,-10.314,54.286,-10.373,"VIIbMedium",119,22,5,2.2823439392446,4.23440433997143,0.5038941164566,"Y",22.1221411162187,"",NA,NA,NA,NA,"No shine on link in bridles indicating poor contact of bridles with bottom. ","No shine on link in bridles indicating poor contact of bridles with bottom. ",2018-03-13 00:40:05
"40",36,"IGFS2003","52",101010101,120,120,36,1,"Groundgear_A","Long","35D9","V",2003-10-29 08:03:00,31,53.166,-10.716,53.147,-10.775,"VIIbDeep",120,21,5,2.4133716162527,4.47749836039461,0.537299803247353,"Y",22.318001947172,"",NA,NA,NA,NA,"Float burst on hauling net onto drum. ","Float burst on hauling net onto drum.",2018-03-13 00:40:05
"41",37,"IGFS2003","51",101010101,125,125,37,1,"Groundgear_A","Long","35D9","V",2003-10-29 10:39:00,32,53.039,-10.926,53.069,-10.877,"VIIbDeep",118,21,4,2.52477983371262,4.68419264139632,0.552734731684766,"Y",21.9265520801114,"",NA,NA,NA,NA,"Had 20 m more warp out on Starboard warp late in tow, lost door spread temporarily and increased headline height. ","Had 20 m more warp out on Starboard warp late in tow, lost door spread temporarily and increased headline height.",2018-03-13 00:40:05
"42",38,"IGFS2003","MB12",101010101,127,127,38,1,"Groundgear_A","Long","35D9","V",2003-10-29 12:19:00,31,53.078,-10.941,53.091,-10.983,"VIIbDeep",118,21,5,1.70558332025112,3.16434753293343,0.373393008886145,"Y",21.9265520801114,"",NA,NA,NA,NA,"Nil
","Nil
",2018-03-13 00:40:05
"43",39,"IGFS2003","89",101010101,140,140,39,1,"Groundgear_A","Long","35D8","V",2003-10-29 15:33:00,30,53.214,-11.246,53.229,-11.206,"VIIbDeep",118,21,5,1.69805247382546,3.15037564717153,0.371744326366241,"Y",21.9265520801114,"",NA,NA,NA,NA,"Nil
","Nil
",2018-03-13 00:40:05
"44",40,"IGFS2003","MB13",101010101,132,132,40,1,"Groundgear_A","Long","35D9","V",2003-10-29 17:24:00,31,53.253,-10.99,53.284,-10.973,"VIIbDeep",112,20,5,1.95748396258407,3.63169566342128,0.406749914303183,"Y",20.7585377167374,"",NA,NA,NA,NA,"Nil
","Nil
",2018-03-13 00:40:05
"45",41,"IGFS2003","50",101010101,130,130,41,1,"Groundgear_A","Long","34D8","V",2003-10-30 07:34:00,32,52.907,-11.066,52.866,-11.047,"VIIbDeep",127,23,5,2.55405728816592,4.73851073871228,0.60179086381646,"Y",23.6969312997611,"",NA,NA,NA,NA,"Nil
","Nil
",2018-03-13 00:40:05
"46",42,"IGFS2003","90",101010101,140,140,42,1,"Groundgear_A","Long","34D8","V",2003-10-30 10:26:00,30,52.762,-11.482,52.727,-11.528,"VIIbDeep",124,22,5,2.68529583349379,4.98199598050796,0.617767501582987,"Y",23.1042324731245,"",NA,NA,NA,NA,"No damage, but GUG CAT 2 LF had to be constructed from general","No damage, but GUG CAT 2 LF had to be constructed from general",2018-03-13 00:40:05
"47",43,"IGFS2003","MB14",101010101,123,123,43,1,"Groundgear_A","Long","34D9","V",2003-10-30 13:53:00,31,52.748,-10.918,52.775,-10.876,"VIIbDeep",114,21,5,2.22669408001431,4.13115784789297,0.470951994659799,"Y",21.1468464514501,"",NA,NA,NA,NA,"Last few shots taking a long time to get to the bottom - too much flotation? ","Last few shots taking a long time to get to the bottom - too much flotation? ",2018-03-13 00:40:05
"48",44,"IGFS2003","48",101010101,120,120,44,1,"Groundgear_A","Long","34D9","V",2003-10-30 15:49:00,30,52.668,-10.757,52.652,-10.711,"VIIbMedium",124,22,4,1.93273929470353,3.58578718868929,0.444637611397472,"Y",23.1042324731245,"",NA,NA,NA,NA,"Nil
","Nil
",2018-03-13 00:40:05
"49",45,"IGFS2003","60",101010101,75,75,45,1,"Groundgear_A","Short","34E0","V",2003-10-31 07:30:00,39,52.918,-9.722,52.956,-9.703,"VIIbCoast",80,20,5,2.38107138138441,4.41757213614919,0.353405770891935,"Y",22.8518402928684,"",NA,NA,NA,NA,"Nil
","Nil
",2018-03-13 00:40:05
"50",46,"IGFS2003","MB15",101010101,100,100,46,1,"Groundgear_A","Long","34E0","V",2003-10-31 09:49:00,31,52.946,-9.976,52.97,-9.922,"VIIbMedium",120,21,4,2.42864580328442,4.50583636972991,0.540700364367589,"Y",22.318001947172,"",NA,NA,NA,NA,"Nil
","Nil
",2018-03-13 00:40:05
"51",47,"IGFS2003","58",101010101,92,92,47,1,"Groundgear_A","Short","35E0","I",2003-10-31 11:49:00,30,53.117,-9.944,53.101,-9.894,"VIIbCoast",133,24,4,2.04410897458175,3.79240997139472,0.504390526195497,"Y",40.2130072801452,"",NA,NA,NA,NA,"Crimp in lighter bridle gave way. Net badly torn along port wing and through top sheet. Transferred to upper drum.","Crimp in lighter bridle gave way. Net badly torn along port wing and through top sheet. Transferred to upper drum.",2018-03-13 00:40:05
"52",50,"IGFS2003","66",101010101,58,50.7,50,1,"Groundgear_A","Short","34E0","V",2003-11-05 09:12:00,30,52.797,-9.613,52.774,-9.623,"VIIbCoast",80,20,5,1.42669222889349,2.64692435787289,0.211753948629831,"Y",22.8518402928684,"240",NA,NA,NA,NA,"First tow with extra weight on the doors. Went away and spread quickly. Stable geometry which was expected for shallow water.","First tow with extra weight on the doors. Went away and spread quickly. Stable geometry which was expected for shallow water.",2018-03-13 00:40:05
"53",51,"IGFS2003","70",101010101,93,93,51,1,"Groundgear_A","Long","34D9","V",2003-11-05 13:12:00,30,52.548,-10.32,52.523,-10.339,"VIIbMedium",112,20,5,1.65266183396041,3.06616295725494,0.343410251212553,"Y",20.7585377167374,"380",NA,NA,NA,27,"Nil
","Nil
",2018-03-13 00:40:05
"54",52,"IGFS2003","MB17",101010101,82,82,52,1,"Groundgear_A","Long","34D9","V",2003-11-05 15:36:00,30,52.586,-10.07,52.578,-10.115,"VIIbMedium",110,20,4,1.7126857154824,3.17752451852022,0.349527697037224,"Y",20.3712239480185,"340",NA,NA,NA,28,"Nil
","Nil
",2018-03-13 00:40:05
"55",53,"IGFS2003","FG1",101010101,152,152,53,1,"Groundgear_A","Long","33D8","V",2003-11-06 07:27:00,30,52.189,-11.357,52.17,-11.339,"VIIjDeep",127,22,4,1.31868888540717,2.44654709723038,0.310711481348258,"Y",23.6969312997611,"600",NA,NA,NA,39,"First of Frank Griffins tows. Headline bobbing a bit. Winds gusting to 40kts.","First of Frank Griffins tows. Headline bobbing a bit. Winds gusting to 40kts.",2018-03-13 00:40:05
"56",54,"IGFS2003","39",101010101,150,150,54,1,"Groundgear_A","Long","33D8","V",2003-11-06 09:48:00,30,52.058,-11.197,52.047,-11.168,"VIIjDeep",130,22,4,1.25894280922563,2.33570094475997,0.303641122818796,"Y",24.292333566955,"600",NA,NA,NA,33,"Nil
","Nil
",2018-03-13 00:40:05
"57",55,"IGFS2003","MB53",101010101,131,131,55,1,"Groundgear_A","Long","33D8","V",2003-11-06 11:27:00,30,52.083,-11.045,52.055,-11.006,"VIIjDeep",127,20,4,2.21308455266338,4.10590826097102,0.52145034914332,"Y",23.6969312997611,"550",NA,NA,NA,40,"Nil
","Nil
",2018-03-13 00:40:05
"58",56,"IGFS2003","38",101010101,135,135,56,1,"Groundgear_A","Long","33D9","V",2003-11-06 13:31:00,30,52.032,-10.931,52.011,-10.942,"VIIjDeep",120,21,5,1.32356906524996,2.45560123422999,0.294672148107599,"Y",22.318001947172,"540",NA,NA,NA,40,"Nil
","Nil
",2018-03-13 00:40:05
"59",57,"IGFS2003","36",101010101,109,109,57,1,"Groundgear_A","Long","32D9","V",2003-11-06 16:35:00,30,51.882,-10.749,51.889,-10.708,"VIIjMedium",125,22,5,1.5784342465892,2.92844943708571,0.366056179635714,"Y",23.3015045512748,"480",NA,NA,NA,39,"Nil","Nil",2018-03-13 00:40:05
"60",58,"IGFS2003","71",101010101,48.1,48.1,58,1,"Groundgear_A","Short","33D9","V",2003-11-07 08:04:00,30,52.02,-10.328,52.004,-10.362,"VIIjCoast",71,18,5,1.58239937313393,2.93580588707593,0.208442217982391,"Y",20.1610541419762,"220",NA,NA,NA,17,"Broke upper single bridle on port side. No net damage. 18mm combination replaced with 24mm as in lower bridle.
","Broke upper single bridle on port side. No net damage. 18mm combination replaced with 24mm as in lower bridle.
",2018-03-13 00:40:05
"61",59,"IGFS2003","MB18",101010101,84,86.3,59,1,"Groundgear_A","Long","32D9","V",2003-11-07 11:43:00,29,51.928,-10.547,51.916,-10.59,"VIIjMedium",101,19,5,1.74940013273281,3.24564032046904,0.327809672367373,"Y",18.6399609667718,"340",NA,NA,NA,121,"Nil
","Nil
",2018-03-13 00:40:05
"62",60,"IGFS2003","43",101010101,82.6,88.1,60,1,"Groundgear_A","Long","32D9","V",2003-11-07 14:46:00,30,51.684,-10.454,51.67,-10.492,"VIIjMedium",114,19,5,1.64684890323711,3.0553782991412,0.348313126102097,"Y",21.1468464514501,"340",NA,NA,NA,114,"Nil
","Nil
",2018-03-13 00:40:05
"63",61,"IGFS2003","FG2",101010101,75.1,73.4,61,1,"Groundgear_A","Short","32D9","V",2003-11-07 17:05:00,30,51.689,-10.211,51.68,-10.256,"VIIjCoast",108,19,4,1.76216167069322,3.26931664321562,0.353086197467287,"Y",31.6192371192879,"",NA,NA,NA,20,"Weather worsening cvatches quite low. Averaging 4.3 stations per day.
","Weather worsening cvatches quite low. Averaging 4.3 stations per day.
",2018-03-13 00:40:05
"64",62,"IGFS2003","42",101010101,154,150,62,1,"Groundgear_A","Long","32D9","V",2003-11-08 07:28:00,30,51.652,-10.828,51.632,-10.804,"VIIjDeep",134,22,4,1.49680735697341,2.77700808343861,0.372119083180774,"Y",25.090586356856,"600",NA,NA,NA,45,"Started bursting floats. Replaced with 3.1kg lift floats instead of 3.5kg.","Started bursting floats. Replaced with 3.1kg lift floats instead of 3.5kg.",2018-03-13 00:40:05
"65",63,"IGFS2003","FG3",101010101,180,179,63,1,"Groundgear_A","Long","32D8","V",2003-11-08 11:01:00,30,51.622,-11.124,51.602,-11.105,"VIIjDeep",128,19,3,1.39347080008429,2.58528905395972,0.330916998906844,"Y",23.8950933494757,"680",NA,NA,NA,44,"About 2 fish boxes in volume of ghost net caught in trawl. Fish were fresh so included in catch. Small encrusted crustacea on net so old net. Gear param. OK so valid tow.","About 2 fish boxes in volume of ghost net caught in trawl. Fish were fresh so included in catch. Small encrusted crustacea on net so old net. Gear param. OK so valid tow.",2018-03-13 00:40:05
"66",64,"IGFS2003","FG4",101010101,163,163,64,1,"Groundgear_A","Long","31D9","V",2003-11-08 14:56:00,30,51.48,-10.813,51.456,-10.794,"VIIjDeep",129,24,4,1.60555072559874,2.97875830352271,0.384259821154429,"Y",24.0935595062847,"610",NA,NA,NA,40,"Depth sensor giving no readings and Trawleye giving bad readings. Recharging depth, trawleye charge is OK, but change battery anyway.","Depth sensor giving no readings and Trawleye giving bad readings. Recharging depth, trawleye charge is OK, but change battery anyway.",2018-03-13 00:40:05
"67",65,"IGFS2003","41",101010101,153,153,65,1,"Groundgear_A","Long","31D9","V",2003-11-08 17:22:00,30,51.431,-10.614,51.426,-10.574,"VIIjDeep",118,22,4,1.52916285963086,2.83703684532628,0.334770347748501,"Y",21.9265520801114,"600",NA,NA,NA,36,"Recharged depth sensor working agin. Trawleye and Trawlsounder giving intermittent readings then gone for last 5 mins.","Recharged depth sensor working agin. Trawleye and Trawlsounder giving intermittent readings then gone for last 5 mins.",2018-03-13 00:40:05
