fldPrimeStation,Yr,LonDec,LatDec,ARG,BLR,BOF,COD,CUR,DAB,DFL,DGS,DII,ESB,GSS,GUG,HAD,HER,HKE,HOM,JOD,LBI,LSD,MAC,MEG,MON,NOP,PLE,POD,POK,POL,PTR,SAR,SDR,SHR,SKT,SOL,SPR,THR,UNR,WAF,WHB,WHG,CatchKg
FG112,2013,-9.223,55.993,0,0,1.299,0,0,0,0,6.32,1.396,0,24.44,0.203,19.68,0,0.877,4.74,0,0,15.56,0,1.052,0,0.246,0,4.264,24.6,0,0,0,0,0,0,0,0,2.92,0,0,577.81,0,685.407
FG170,2016,-10.464,51.477,0,0,3.348,0.877,0,1.078,0,0,0,0,0.032,0.562,28.268,0.127,3.382,0.169,0,0,2.976,0.296,5.711,0.921,1.537,6.409,9.859,0,0,0,0,0,0,0,0,0,0,0,1.479,0,12.952,79.983
FG207,2012,-9.483,52.982,0,0,0,0,1.564,29.98,0,0,0,0,0,17.776,142.008,0.204,8.46,11.42,0,0,2.378,0.11,0.272,0.188,0.058,8.404,0.084,0,0,0,0,0,0,0,0.534,0.12,0,0,0,0,245.026,468.586
FG28,2009,-11.387,51.604,0,0,4.75,0,0,0,0,0,0,0,2.082,4.376,29.65,0,33.354,18.85,10,0.308,0,10.94,2.627,2.174,0,0,13.257,0,0,0,0,0,0,0,0,0,0,0,2.308,58.69,0,193.366
FG48,2008,-6.015,51.4,0,0,0,0,0,0,0,0,0,0,0,1.201,0,1.86,5.922,0.04,0.9,0,5.252,0,0.453,0,37.391,0,7.211,0,0,0,0,0,0,0,0,0.223,0.373,0,0,0.41,253.13,314.366
FG75,2011,-10.244,53.296,0,5.24,0,0,7.64,0,0,0,4.6,0,0,0.079,0.766,0,11.189,0,0.322,0,11.5,0,2.067,2.4,0.631,0,0.295,0,0,3.12,0,35.272,0,0,0.734,0,4.999,0,3.8,2.149,0.672,97.475
9A,2003,-8.323,55.476,0,0,0,0,0,0,0,0,0,0,0,0.388,25.71,0,1.88,0.867,0,0,13.33,0,0.579,1.042,0,0,0.859,0.59,0,0,0,0,0,0,0,0,0,0,0,0,3.44,48.685
FG104,2006,-11.916,53.261,0,0,0.512,0,0,0,0,0,0,0,0.909,2.025,11.16,0,4.764,0.788,0,0.209,4.82,0.053,3.324,5.34,0.143,0,11.85,0,0,0,0,0,0,0,0,0,0,0,0,23.251,1.156,70.304
71,2010,-10.326,52.02,0,0,0,0,0,3.548,0,1.585,0,0,0,33.56,390.779,0,5.73,0.354,1.861,0,16.06,0,0,0.126,0,5.183,73.297,0,2.88,0,0,2.86,0,0.205,2.18,0.053,0,0,0,0.607,23.81,564.678
FG61,2009,-10.881,50.357,0,0,0.362,0,0,0,0,0,0,0,2.077,1.029,5.16,0,36.789,6.681,0,0.78,0,0.216,3.998,0,0,0,1.267,0,0,0,0,0,0,0,0,0,0,0,0.733,2.736,0,61.828
MB7,2004,-7.767,55.513,0,0,0,2.16,0,0,0,1.14,0,0,0,0.665,17.22,3.96,0,126.512,0.182,0,47.22,0.698,0,0,0,0,0.112,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,201.249
95,2012,-10.877,53.715,0,0,3.542,0,4.36,0,0,0,0,0,0,18.562,137.5,0,1.43,125.685,0.702,0,87,8.862,1.164,19.88,1.743,0,9.791,0,0,0,0,3.47,0,0,0,0,0,0,0,11.173,10.68,445.544
FG199,2015,-9.221,51.291,0,0,0,1.8,0,1.362,0,5.65,0,0,0.046,0.206,0,0,33.02,20.994,1.416,0,5.43,0.484,1.91,5.416,5.9,0,0.82,0,0,0,0,0,0,0,0,0,0,0,2.274,0.276,1.986,88.99
FG165,2007,-5.814,51.306,0,1.886,0,0,4.873,0.454,0,0,0,20.56,0,3.939,75.183,0.354,4.53,0.105,2.748,0,57.54,10.79,1.457,2.58,21.265,0,2.639,0,0,0,0,0,0,0,0,4.032,0,0,0,0.499,269.525,484.959
81,2004,-11.028,50.721,10.28,0,0.244,0,0,0,0,0,0,0,0,0,0.261,0,2.457,2.72,0,0.104,13.68,0.447,4.116,6.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,121.823,0,162.412
PO34,2010,-12.08,52.959,0,0,0.252,0,0,0,0,0,0,0,0.555,0.898,74.08,0,5.39,2.68,0,1.009,1.085,10.98,2.856,1.206,0.606,0,10.141,0,0,0,0,0,0,0,0,0,0,0,0,505.176,2.044,618.958
SC552,2012,-9.586,54.549,0,0,0,2.96,2.38,24.36,0,0,85.7,0,0,10.817,262.462,1.08,8.24,1.01,0.371,0,1.34,21,0.342,2.274,1.615,49.68,0.766,8.74,0,0,0,0.787,0,0,0.398,0,16.6,0,0,0,54.072,2153.346
SC552,2012,-9.586,54.549,0,0,0,2.96,2.38,24.36,0,0,85.7,0,0,10.817,262.462,1.08,8.24,1.01,0.371,0,1.34,21,0.342,2.274,1.615,49.68,0.766,8.74,0,0,0,0.787,0,0,0.398,0,16.6,0,0,0,54.072,556.994
FG99,2013,-11.477,53.955,0,0,0,0,0.496,0,0,0,0,0,0.322,0.908,0,0,78.837,3.96,0,0.046,0,0,0.58,15.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.41,0,246.339
FG45,2011,-6.326,55.337,0,0,0,0,1.225,0,0,0,0,0,0,0.341,2.631,1.285,0,0.674,0,0,7.35,0,0,0,0.352,0.099,15.4,1.33,0,0,0,0.194,0,1,4.744,0,0,0,0,3.6,2.29,42.515
FG54,2012,-10.086,50.517,0,0,0.488,0,0,0,0,0,0,0,0,1.284,0,0,17.237,0.535,0,0,1.658,122.14,0.592,2.656,0,0,0.736,0,0,0,0,0,0,0,0,0,0,0,0.214,373.824,0,521.364
27,2010,-9.42,54.998,0,0,0.692,1.718,1.181,0,0,0,0,0,0,5.71,50.454,130.41,0,7.67,1.333,0,25.19,170.65,0,0,2.769,0,22.53,5.71,0,0,0,0,0,0,0,0,8.609,0,0,0,12.129,446.755
71,2014,-10.371,51.999,0,0,0,0,0,0.859,0,0,0,0,0,2.93,1.711,0.088,0.682,2.275,0.055,0,15.96,0,0.411,1.363,0.169,8.93,3.854,0,0,8.558,0,16.28,0,0,4.572,2.584,50.23,0,0,0.274,12.594,134.379
MB28,2011,-10.885,53.396,0,0,12.84,0,8.06,0,0,0,0.421,0,0,16.937,111.12,0,1.225,0.054,0,0,29.44,6.503,12.446,18.98,0.105,2.483,1.191,0,0,0,0,0,0,0,0,0,2.238,0,0.186,0,1.228,225.457
GD4,2013,-7.114,55.803,0,2.98,0,0,2.16,12.46,0,0,0,0,0,72.16,0.449,0.44,0,1.86,0.363,0,2.44,248.204,0,0,0,21.26,2.635,0,0,0,0,3.299,0,0,0,0,0,0,0,0,0.85,371.56
FG33,2009,-10.048,51.507,0,0,0.007,0,0,16.44,0,0,0,0,0,6.36,266.96,0.263,5.09,0.342,0,0,1.079,0,0,0.94,31.45,3.256,7.233,0,0,0,0,0,0,0,0,4.17,0,0,0,4.26,400.756,748.606
FG169,2007,-9.3,50.895,0,0,217.44,10.7,0,0,0,0,0,0,0,0.217,96.753,0,6.51,0.22,0.786,0,4.713,0,2.028,3.092,4.15,0,33.62,0,0,0,0,0,0,0,0,0,0,0,0.4,0.274,7.13,388.033
10,2011,-7.907,55.203,0,0,0,0,0,13.046,0,0,0,0,0,1.839,0,0,0,0.117,0.389,0,2.47,135.45,0,0,0,58.021,0,0,0,0,0,0,0,0,0.192,0,6.67,0,0,0,3.972,222.166
FG158,2011,-11.463,51.25,0,0,0,0,0,0,0,0,0,0,1.191,0,0.826,0,76.372,0.782,0,1.343,0,0,4.123,3.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.392,0,133.769
31,2009,-7.198,55.695,0,14.92,0,0.844,0,13.516,0,0,0,0,0,24.24,0,0,0,53.436,0.431,0,7.908,0.146,0,0,0,8.774,0,0,0,0,0,27.42,0,0,0,0,0,0,0,0,1.279,152.914
FG203,2011,-10.724,51.257,0,0,0.198,0,0,0.338,0,0.984,0,0,0.023,0.756,0.661,0,3.012,0,1.617,0.923,8.66,0,5.463,0.182,0,0.295,2.109,0,0,0,0,0,0,0,1.644,0,0.985,0,0.452,7.94,0,36.242
43,2013,-10.451,51.684,0,0,0.181,0,0,12.135,0,0,0,0,0,0.152,97.28,0,3.6,0.623,0.495,0,2.1,0,0.211,2.573,20.668,2.969,9.579,0,0,0,0,0,0,0,0,0.021,0,0,3.712,1.731,20.501,178.531
11,2017,-8.674,55.309,0,0,0,0,0,0,0,7.85,0.65,0,0,0.717,99.357,0,0.552,7.37,2.25,0,35.84,1.73,0.405,3.43,0.011,0,0.717,0,0,0,0,2.207,0,0,0,0,1.46,0,0,0.246,12.16,176.952
84,2004,-9.939,50.747,1.641,0,40.22,0,0.07,0.095,0,0,0,0,0,0.125,6.22,0,3,0.896,0.007,0,0.24,1.502,3.814,0.063,39.36,0.583,1.273,0,0,0,0,0,0,0,0,0,0,0,0.032,25.512,0.436,125.089
62w,2003,-9.46,53.196,0,0,0,0,0,1.196,0,0,0,0,0,0.31,64.4,13.14,0,0.371,2.982,0,38.37,164.09,0,1.27,0,1.142,0,0,0,0,0,0,0,0,0,5.377,3.45,0,0,0,325.048,621.146
FG61,2011,-10.86,50.381,0,0,3.36,2.301,5.871,0,0,0,0,0,0.507,0.173,16.82,0,5.3,0,0,0.253,0.726,0.049,5.017,0.094,0,0,2.595,0,0,0,0,0,0,0,0,0,0,0,0.106,19.97,0,63.142
FG176,2017,-7.552,51.481,0,0,0,14,0,0.452,0,0,0,0,0,1.562,81.114,0,40.62,20.694,0.22,0,1.646,0.566,0.18,9.6,25.29,0.469,2.813,0,0,0,0,2.392,0,0,0,0,3.61,0,0,0,58.056,263.284
59,2016,-9.719,53.054,0,0,0.01,0,1.39,1.007,0,411.453,0,0,0,0.917,0.013,0.072,0,0.358,0,0,34.96,310.03,0.847,0,0.051,3.96,0.389,0,0,0,0,9.74,0,0,0.235,1624.274,0,0,0.668,0,8.189,2408.563
FG23,2010,-7.441,51.16,0,0,0,0.353,0,0,0,0,0,0,0.038,0.272,30.386,0,6.06,0,0,0,28.16,5.472,1.672,4.47,21.064,0,5.44,0,0,0,0,2.76,0.619,0,0,0,0.325,0,8.17,5.667,2.261,123.189
85,2004,-9.259,50.749,4.808,0,9.7,0,0,0,0,0,0,0,0,2.119,48.064,0,1.901,1.69,0.01,0,2.68,0.163,0.91,3.36,24.999,0,16.5,0.74,0,0,0,0,0,0,0,0,0,0,0.173,1.033,7.1,125.95
FG67,2008,-11.028,51.852,0,0,167.75,0,0,0,0,0,0,0,0,10.666,93.79,0,26.236,0.246,0.281,0.052,1.12,0.57,3.741,0,0,0.302,13.669,0,0,0,0,0,0,0,0.172,0.499,0,0,1.144,81.178,9.04,410.456
FG58,2017,-9.789,51.352,0,0,0.493,0,0,1.318,0,0,0,0,0,0.06,1.354,0.086,2.777,5.008,0,0,4.35,0.203,0.196,0.92,31.38,3.567,30.09,0,0,0,0,0.334,0,0,0,0,7.94,0,0,0,860.935,951.011
FG67,2007,-11.011,51.838,0,0,7.92,0,0,0,0,1.79,0,0,0.019,6.06,46.75,0,6.756,1.65,0,0,1.914,0.217,0.928,0,0,0,2.471,0,0,0,0,0,0,0,0,0,0,0,1.131,5.985,4.67,738.03
FG67,2007,-11.011,51.838,0,0,7.92,0,0,0,0,1.79,0,0,0.019,6.06,46.75,0,6.756,1.65,0,0,1.914,0.217,0.928,0,0,0,2.471,0,0,0,0,0,0,0,0,0,0,0,1.131,5.985,4.67,88.261
VMS2,2013,-9.409,50.843,0,0,22.205,0,0,0,0,0,0,0,0.015,0.611,1.484,0,9.34,0,0.005,0,0.594,0,2.459,0.497,0.833,1.649,1.616,0,0,0,0,0,0,0,0,0,0,0,0.183,0.43,0.855,42.776
FG142,2009,-7.19,56.243,0,0,0,0,1.14,6.735,0,5.8,0,0,0,20.24,3.246,0.272,9.67,21.28,0.495,0,61.2,1.037,0,5.52,0.433,25.12,0.012,0,0,0,0,6.154,0,0.541,0.58,0,0,0,0,0,2.23,171.705
14,2016,-8.338,54.585,0,0,0,0,0,13.18,0,0,0,0,0,0,0,244.489,0,12.35,0,0,18.28,209.327,0,0.622,0,1.684,7.348,0,0,0,0,1.58,0,0,0.32,871.213,10.42,0,0,0,42.058,1432.871
FG101,2013,-10.069,54.788,0,0,279.68,0,0,0,0,0,0,0,0,0.244,10.76,1480.78,3.5,15.34,2.16,0,15.06,11.18,0,0.7,18.4,0,11.703,0.998,0,0,0,0,0,0,0,0,0,0,0,3.306,7.42,1861.231
FG206,2011,-9.878,52.908,0,0,0,0,0,0.092,0,2.775,0,0,0,0.756,21.66,0.153,2.705,1.168,0,0,25.18,0,2.035,0,0.732,0,0.189,0,0,0,0,0,0,0,0,1.592,0,0,0,4.03,27.463,90.53
MB13,2013,-10.986,53.26,0,0,50.62,0,6.665,0,0,0,0,0,0.057,7.892,130.14,0,15.084,0.056,2.206,0,33.14,2.168,2.351,0,5.766,0,2.088,0,0,0,0,0,0,0,0.261,0,2.694,0,0.538,53.746,2.451,317.923
43,2005,-10.497,51.669,0,0,0.033,1.185,0,0.598,0,0,0,0,0,0.261,19.631,0,0.732,3.428,1.388,0,8.38,0.231,0.752,3.1,0.421,0,8.325,0.598,3.11,0,0,0,0,0,1.509,0.038,0,0,3.1,3.082,98.07,157.972
CN307,2013,-5.77,51.404,0,0,0,0,0,5.094,0,0,0,18.98,0,4.46,109,3.042,0.913,43.384,2.26,0,12.76,343.611,0,1.26,150.08,4.15,0.476,0,0,0,0,5.89,0,0,0.205,0,0,0,0,0,26.32,731.885
GD8,2013,-9.619,55.216,0,0,9.157,0,0,0,0,0,0,0,0,1.31,84.84,0,6.619,435.296,4.34,0,16.94,9.28,0.446,0,1.351,0,1.892,0,0,0,0,0,0,0,0,0,2.04,0,0,0.554,2.42,576.485
18,2017,-9.232,54.596,0,0,0.001,0,0,0,0,0,0.998,0,0,0.111,43.51,1.386,1.95,3.533,3.09,0,19.52,0.267,0,0,0.03,0.5,1.199,0.499,0,0,0,0,0,0,0,0,0.644,0,0,0,2.55,79.788
112,2010,-6.332,51.244,0,0,0,1.499,0,0.314,0,0,0,0,0,24.32,26.38,6.34,2.734,0.002,0,0,0,0,0.319,1.16,214.36,0,4.08,0,0,0,0,0,0,0,0.463,0,0,0,0,10.74,360.392,653.103
23,2003,-10.119,54.473,0,0,0.104,0.688,0.801,0,0,0,0,0,0,0.414,193.57,2.106,1.358,19.57,2.733,0,4.88,70.514,1.152,0,0.029,0,19.308,0.349,0,0,0,0.934,0,0,0,0,0.294,0,0,0.786,31.6,351.19
FG66,2010,-10.233,51.014,0,0,303.472,0,0,0,0,0,0,0,0,10.95,21.6,0,7.65,0.172,0.246,0,1.337,20.92,3.342,0.019,0.149,0,2.223,0,0,0,0,0,0,0,0.37,0,0,0,0.034,0.118,0.423,373.025
FG26,2003,-6.072,51.803,0,0,0,4.03,0,0.162,0,0,0,0,0,2.058,9.74,0,0.042,1.606,0,0,2.39,0.105,0.406,3.58,121.91,0,28.537,0,0,0,0,3.11,0,0,1.831,0.131,0,0,0,0.132,40.44,220.21
62A,2017,-8.498,50.703,0,0,6.358,0,0,0,0,17.185,0,0,0,0.803,7.3,0,21.778,0.47,1.013,0,1.26,0.353,1.692,3.87,0.572,2.16,0,8.22,0,0,0,0,0,0,0,0,0,0,3.67,0,0,76.704
FG26,2017,-6.072,51.799,0,17.4,0.077,9.49,0,0,0,12.342,0,0,0,0,15.34,0.093,8,2.267,1.041,0,43.04,4.5,1.398,2.088,8.86,0.16,3.954,0,0,0,0,18.71,0,0,1.153,6.24,0,0,0,0.333,15.7,172.186
FG157,2007,-11.401,51.485,0,0,0.747,0,0,0,0,0,0,0,0.439,0.074,4.328,0,2.593,3.905,0.89,0.157,0,0,4.772,0,0,0,4.752,0,0,0,0,0,0,0,0,0,0,0,0,5.404,0,28.061
FG203,2017,-10.729,51.249,0,0,50.831,0,0,0,0,0,0,0,0,4.988,2.21,0,6.06,1.381,0.007,0,17.08,0,1.625,9.09,0.08,0,0.935,0,0,0,0,0,0,0,0,0,0,0,1.022,0,0,95.309
25,2015,-9.919,54.301,0,0,0,0,2.5,60.28,0,0,0,0,0,15.772,7.7,16.29,0,1575.316,0,0,7.24,1634.647,0,0,1.626,58.049,0.25,0,0,0,0,0.904,0,0,0,0.486,8.36,0,0,0,13.256,3402.676
FG166,2013,-7.58,51.43,0,0,0,0,0,0.188,0,0,0,0,0,1.362,14.653,0,23.52,0.905,0.02,0,7.4,2.228,0.275,0,4.66,0,0.182,0,0,0,0,0,0,0,0,0,0,0,0,0,18.86,74.253
FG30,2007,-10.551,50.347,0,0,0.254,0,0,0,0,0,0,0,0.063,0.179,0.276,0,5.171,0.198,1.95,0.102,0,2.334,2.082,2.617,0,0,8.7,0,0,0,0,0,0,0,0,0,0,0,0.541,10.75,0,35.217
MB31,2007,-7.25,51.65,0,0,0,4.011,0,0.479,0,0,0,0,0,0.761,155.85,0.105,4.782,0.035,0.175,0,29.06,0.564,0.154,0,0.27,2.676,0.927,0,0,0,0,1.23,0,0,0,0,0,0,0,0,15.25,216.329
FG114,2009,-7.537,55.616,0,0,0,0,0,0,0,2.44,0,0,0,1.192,1.375,282.74,0,122.07,0.912,0,94.6,26.76,0,0,0.023,0,15.419,0,0,0,0,0.377,0,0,0,0,0,0,0,0,0,547.908
FG91,2013,-10.998,54.2,0,0,0,6.24,0,0,0,22.749,0,0,0.106,4.498,37.74,0,56.695,106.5,0.79,0,5.35,0,4.294,13.32,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0,8.84,190.479,0,461.301
112,2008,-6.337,51.218,0,0,0,0,0,0.091,0,0,0,0,0,0.287,0,1.899,1.833,0.005,0,0,0,0,0.416,0,6.618,0,2.516,0,0,0,0,0,0,0,0,0.362,0,0,0,0,6.692,20.719
FG218,2016,-9.848,54.486,0,0,0.001,1.989,0,28.52,0,0,0,0,0,14.65,130.586,0,0.456,404.5,0.033,0,6.602,2.084,0.873,8.17,0,20.842,13.116,0,0,0,0,1.67,0,0,0.493,0.041,0,0,0,0,13.23,647.856
112,2004,-6.331,51.22,0.055,0,0,0,0,0,0,0,0,0,0,0,1.46,0.028,0.339,0,0.001,0,0,0,0,0.536,2.546,0,1.249,0,0,0,0,0,0,0,0,0.212,0,0,0,0.344,218.66,225.43
FG177,2009,-7.483,52.057,0,0,0,0,0.827,43.29,0,0,0,0,0,1.511,1.305,15.18,1.488,0.106,0,0,11.6,1.233,0,0,0,10.52,3.388,0,0,0,0,0,0,0,0.129,16.74,0,0,0,0,357.374,464.691
FG36,2005,-7.634,50.989,0,0,0.023,5.61,0,1.008,0,0,0,0,0,1.55,49.29,0,4.772,0.257,0,0,0.108,0,1.504,0.987,7.09,1.39,32.14,0,0,0,0,0,0,0,0,0,0,0,0.163,3.978,6.25,116.12
VMS1,2016,-8.506,50.879,0,0,325.688,7.3,0,0,1.5,8.61,0,0,0,0.4,2.498,0,28.606,1.011,0.016,0,3.9,0.29,5.122,1.192,1.224,0.776,0.232,0,0,0,0,0,0,0,0,0,0,0,9.43,0.116,4.212,402.123
FG66,2011,-10.232,51.006,0,0,3.1,0,0,0,0,0,0,0,0,1.516,3.258,0,7.594,0.003,0.163,0.093,0,1.475,1.807,0.064,0.052,0.517,14.189,0,0,0,0,0,0,0,0,0,0,0,0.028,80.9,0,114.759
FG190,2016,-10.244,51.378,0,0,3.428,0,0,2.728,0,0,0,0,0,10.66,17.109,0,5.091,4.012,0.018,0,0.228,0.936,7.643,7.78,0,2.012,0.198,0,0,0,0,0,0,0,0,0,0,0,6.27,0,7.918,76.031
FG100,2017,-7.428,55.502,0,0,0,0.471,0,0.195,0,0,0,0,0,0,29.52,3.432,0,2.84,0,0,6.685,80.848,0,0,0,0.391,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46,125.858
FG7,2003,-9.836,50.49,1.44,0,1.503,0,0,0,0,0,0,0,0,0.116,7.38,0,4.873,2.753,0,0,0,0,1.256,0.057,0.027,0,5.842,0,0,0,0,0,0,0,0,0,0,0,0.8,10.017,1.63,37.694
12,2015,-8.59,55.435,0,0,0,0,0,0.205,0,0,1.016,0,0,1.737,14.588,2.177,0,1.866,0.52,0,20.5,208.876,2.067,1.173,0,1.146,0,0,0,0,0,5.05,0,0,0,0,17.25,0,0.01,0,1.526,279.707
FG104,2012,-11.925,53.249,0,0,0,5.18,0,0,0,0,1.05,0,0.238,14.56,0.644,0,11.994,1.992,0,0.78,1.694,52.2,2.9,0,0.91,0,8.502,0,0,0,0,0,0,0,0,0,0,0,0,447.164,5.02,554.828
FG102,2012,-9.7,54.92,0,0,4.1,3.456,1.262,0.277,0,0,0,0,0,3.284,226.29,0.214,0,2.777,0,0,7,1.415,1.124,0.001,17.665,1.193,31.474,0,8.98,0,0,0,0,0,0,0,3.535,0,0,0,55.312,369.359
81,2011,-11.018,50.711,0,0,0.454,0,0,0,0,0,0,0,0.926,0,0,0,9.051,0,0,0.336,0,0,2.69,2.08,0,0,0.056,0,0,0,0,0,0,0,0,0,0,0,6.42,8.814,0,30.827
FG114,2017,-7.586,55.65,0,0,0,1.228,0,0,0,0,0,0,0,1.096,115.674,0,0,830.289,0.202,0,93.5,322.595,0,0,0.022,1.849,0,0,0,0,0,0.252,0,0,0,0,0.115,0,0,0,8.303,1375.125
CC310,2008,-8.532,51.206,0,0,0.1,5.12,0,0,0,0,0,0,0.066,0.255,66.332,91.3,22.27,0.722,2.224,0,2.18,0.825,1.957,0,18.575,0.304,37.238,0,0,0,0,0,0,0,0,0,0,0,0,8.73,14.585,272.783
20,2007,-9.629,54.341,0.003,0,0,0,0,2.028,0,0,0,0,0,8.11,0.928,0.653,0,1.994,0,0,0.98,0.632,0.563,0,0,7.68,0,0,0,0,0,0.856,0,0,0,0,0,0,0,0,3.852,28.279
31A,2006,-7.06,55.875,0,1.39,0,0,0,20.95,0,1.61,0,0,0,186.9,18.77,1.4,0,0,0,0,7.82,2.078,0,0,0,21.33,0.009,0,0,0,0,8.94,0,0,0.181,0,0,0,0,0,5.98,277.358
71,2003,-5.585,53.765,0.003,0,0,10.47,0,0,0,15.55,0,0,0,0,8.06,2.97,0.069,0.118,0,0,0,0,0,1.69,0.415,0,2.98,0,0,0,0,0,0,0,0,11.665,0,0,0,0,64.878,127.51
71,2003,-5.585,53.765,0.003,0,0,10.47,0,0,0,15.55,0,0,0,0,8.06,2.97,0.069,0.118,0,0,0,0,0,1.69,0.415,0,2.98,0,0,0,0,0,0,0,0,11.665,0,0,0,0,64.878,118.868
FG130,2009,-10.275,50.775,0,0,10.32,0,0,0,0,0,0,0,0.1,0.828,20.444,0,2.76,0.037,0,0,0,0,2.962,0.215,0.124,1.336,4.909,0,0,0,0,0,0,0,0,0,0,0,0,70.77,0.435,115.24
FG192,2013,-7.066,56.304,0,0,0,0,3.86,8.68,0,0,2.88,0,0,1.64,21.55,125.807,9.984,9.56,0,0,15.34,13.24,0.521,0,91.97,38.26,0.912,0,0,0,0,24.92,0,0,0.23,216.034,0,0,0,3.344,390.331,979.063
FG140,2006,-8.073,51.034,0,0,0.003,0.559,0,1.479,0,1.428,0,0,0.034,1.974,14.19,0,21.74,0.156,0.974,0,1.05,0.086,1.673,0,86.908,3.051,30.571,0,0,0,0,0,0,0.328,0.934,0,0,0,0,9.025,5.35,181.513
FG190,2015,-10.29,51.352,0,0,379.328,0,0,1.614,0,0,0,0,0,4.84,78.44,0,2.304,448.396,0,0,0.91,0.634,2.466,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,2.67,23.254,0.854,946.91
51,2005,-10.893,53.058,0,0,3.176,0,0,0.49,0,0,0,0,0,5.302,83.695,0,12.8,0,0,0,4.05,0.131,1.722,7.77,1.396,0.67,0.862,0,0,0,0,0,0,0.244,0.786,2.046,0,0,0.367,3.308,20.11,148.925
MB23,2007,-8.87,56.009,0,0,0.545,1.5,2.791,0,0,0.907,0,0,0,1.052,39.456,0,4,150.884,8.76,0,24.12,0,1.027,0,1.483,0,3.124,0.973,0,0,0,0,0,0,0,0,2.22,0,0,0.274,0,243.116
7a,2004,-5.933,52.768,0,0.28,0,10.14,0.96,0.308,0,12.88,0,0,0,0.449,0.3,0.04,0,0.045,0,0,213.44,0,0,0,2.4,5.08,11.25,0,0,1.32,0,16.84,0,0,0.32,0.715,2.26,0,0,0,31.51,310.537
FG211,2017,-9.822,50.383,0,0,405.117,32.46,3.56,0,0,0,0,0,0,5.71,102.132,0,0.72,0.248,2.351,0,14.94,0,1.4,2.21,0,0,78.599,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293,649.74
FG51,2008,-8.105,51.348,0,0,0.051,5.11,0,1.463,0,3.04,0,0,0.074,1.209,104.11,0.584,10.478,0.426,2.5,0,5.94,0.454,0.96,0,10.6,2.371,45.81,0,0,0,0,0,0,0,0,0.135,0,0,1.156,0.909,12.831,210.211
FG169,2010,-9.301,50.921,0,0,25.89,12.14,1.221,0,0,0,0,0,0,0,599.18,0,6.33,2.203,3.95,0,2.43,4.219,3.082,4.71,21.82,0,78.319,0,0,0,0,0,0,0,0,0,0,0,0.906,1.334,19.6,787.334
32,2003,-5.879,52.343,0,0,0,6.49,0.994,0,0,0,0,0,0,1.638,41.1,0,4.88,0.027,0.374,0,8.88,0.387,0,0,0.367,0.524,25.797,0,0,0,0,0.257,0,0,0.284,0,0,0,0,0,25.41,117.409
32,2003,-5.879,52.343,0,0,0,6.49,0.994,0,0,0,0,0,0,1.638,41.1,0,4.88,0.027,0.374,0,8.88,0.387,0,0,0.367,0.524,25.797,0,0,0,0,0.257,0,0,0.284,0,0,0,0,0,25.41,14.238
CN304,2014,-6.133,51.179,0,0,0.058,0,0,0.347,0,0,0,0,0,245.82,175.017,0,37.702,0.802,1.09,0,59.27,1.2,0.86,3.142,180.855,0,17.518,0,0,0,0,0,0,0,0.15,0.147,3.01,0,0,2.245,1726.594,2455.827
FG169,2011,-9.3,50.894,0,0,3.733,12.338,3.68,0.039,0,0,0,0,0.119,0.724,220.222,0,17.688,0,0.876,0,4.142,0.974,6.182,0,0.373,0.788,10.585,0,0,0,0,0,0,0,0,0,0,0,0.026,2.057,42,326.546
FG169,2011,-9.3,50.894,0,0,3.733,12.338,3.68,0.039,0,0,0,0,0.119,0.724,220.222,0,17.688,0,0.876,0,4.142,0.974,6.182,0,0.373,0.788,10.585,0,0,0,0,0,0,0,0,0,0,0,0.026,2.057,42,919.189
PO113,2007,-11.919,53.951,1.214,0,0,0,0,0,0,0,0,0,0,0,0,0,24.27,0.464,0,0.288,0,0.047,0.026,6.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.99,0,89.309
FG16,2004,-8.267,51.088,0.085,0,0,0,0,0,0,6.496,0,0,0,1.705,0.256,0,7.434,0.459,0.201,0,0.536,0.476,0.527,0.088,41.513,0,31.266,0,0,0,0,0,0,0,0,14.377,0,0,0,46.225,0,151.644
CN305,2015,-6.556,51.262,0,0,0,0,0,0.272,0,5.51,0,0,0,7.04,16.272,1.362,5.49,0.242,0,0,65.19,0,1.654,4.69,13.518,0,1.748,0,0,0,0,0,0,0,0,7.758,0,0,0,0.73,59.022,190.498
SC554,2006,-8.835,54.462,0,0,0,0,0,26.48,0,0,0,0,0,85.797,0.535,0,2.78,0.014,0,0,11.85,0,0,0.89,0,48.71,4.434,0,0,0,0,7.084,0,0,1.036,0,0,0,0,0,25.21,214.82
FG111,2009,-9.328,55.734,0,0,0,2.56,1.879,0,0,0,0,0,2.624,0.369,2.576,0,7.59,26.09,0,0,18.91,0,1.53,0,0.274,0,3.342,20.15,0,0,0,0,0,0,0,0,0.986,0,0,211.67,0,300.55
