fldPrimeStation,Yr,LonDec,LatDec,ARG,BLR,BOF,COD,CUR,DAB,DFL,DGS,DII,ESB,GSS,GUG,HAD,HER,HKE,HOM,JOD,LBI,LSD,MAC,MEG,MON,NOP,PLE,POD,POK,POL,PTR,SAR,SDR,SHR,SKT,SOL,SPR,THR,UNR,WAF,WHB,WHG,CatchKg
PO113,2017,-11.934,53.951,0,0,0,0,0,0,0,0,0,0,5.352,0,0,0,21.55,0,0,0.749,0,0,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327.359,0,355.74
38,2015,-10.945,52,0,0,172.88,0,1.322,0.704,0,89.38,0.24,0,0,0.044,3.95,0,3.836,1.01,3.13,0.058,11.98,8.644,3.23,10.4,55.134,0.266,1.198,0,0,0,0,3.607,0,0,0,0,6.56,0,10.11,3.908,3.85,395.441
FG203,2015,-10.741,51.231,0,0,144.36,0,0,0,0,0,0,0,0,5.675,16.885,0,3.524,1.224,0.23,0.466,3.15,0.138,6.064,1.79,0,0,1.72,0,0,0,0,0,0,0,0,0,3.96,0,0.326,23.486,1.186,214.184
44,2009,-5.522,51.271,0,0,0,0,0,27.95,0,0,0,12.78,0,8.42,670.3,0.4,0.285,1.263,0.047,0,28.88,0,0.269,1.086,12.04,3.511,1.639,0,0,0,0,3.011,0,0,0.229,3.322,0.444,0,0,0.153,74.702,850.731
93,2013,-7.31,56.211,0,0,0,0.594,1.402,3.794,0,0,0,0,0,5.84,60.858,10.438,14.773,0.172,0,0,38.86,124.22,0,1.348,0.041,21.3,0.039,0.57,0,0,0,3.38,0,0,0,58.636,0,0,0,11.24,50.529,408.034
CC431,2013,-9.357,50.451,0,0,0.091,0,0,0,0,0,1.208,0,0,0.238,0.367,0,4.379,0,0,0,3.354,0,1.449,3.72,0.433,0,0.2,0,0,0,0,0,0,0,0,0,0,0,1.2,0.439,1.789,18.867
R213,2003,-9.166,55.612,0,0,81.09,1.76,0,0,0,0,0,0,0,0.68,126.77,0,5.12,34.1,0,0,28.54,0,0.5,0,0.006,0,4.929,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,284.355
33A,2010,-6.739,51.975,0,0,0,1.52,1.771,37.325,0,0,0,0,0,15,1.78,1967.88,0.075,0.6,0,0,44.62,38.9,0.5,2.22,0.372,147.539,0.6,0,0,5.7,0,5.35,0,0,1.193,0.518,23.06,0,0,0,31.18,2327.703
MMMA3,2012,-8.332,55.823,0,0,0.104,0,1.38,8.442,0,0,0,0,0,144.58,154.911,900.82,34.4,1.008,0,0,49.3,3.97,3.216,3.25,243.285,27.34,53.75,0,0,0,0,0,0,0,0.446,0,12.2,0,0,168.944,100.379,1911.725
FG23,2003,-7.415,51.178,0,0,0,4.79,0,0.422,0,0,0,0,0,2.312,17.12,0,4.832,15.953,0.293,0,1.78,0,1.251,6.304,12.25,0,3.86,0,0,0,0,0,0,0,0,0.157,0,0,0,1.161,6.98,79.465
